!Username	ElementId	Amount	Difference
Bizzy78	4211413	1000	NULL
Bizzy78	4211414	500	NULL
Bizzy78	4249891	300	NULL
Bizzy78	4255413	200	NULL
Bizzy78	4264569	400	NULL
Bizzy78	4504375	1000	NULL
Bizzy78	4515374	50	NULL
Bizzy78	4521947	400	NULL
Bizzy78	4521948	200	NULL
Bizzy78	4536521	100	NULL
Bizzy78	4536998	100	NULL
Bizzy78	4570877	200	NULL
Bizzy78	4616581	400	NULL
Bizzy78	6000311	100	NULL
Bizzy78	6009656	100	NULL
Bizzy78	6075617	400	NULL
boba johan	306901	200	NULL
boba johan	4210700	100	NULL
boba johan	4211063	300	NULL
boba johan	4211065	50	NULL
boba johan	4211088	300	NULL
boba johan	4211194	100	NULL
boba johan	4211388	400	NULL
boba johan	4211398	200	NULL
boba johan	4211414	400	NULL
boba johan	4249891	750	NULL
boba johan	4255413	200	NULL
boba johan	4264569	450	NULL
boba johan	4269651	10	NULL
boba johan	4519946	100	NULL
boba johan	4521947	200	NULL
boba johan	4521948	200	NULL
boba johan	4536521	50	NULL
boba johan	4536998	50	NULL
boba johan	4570877	200	NULL
boba johan	4613823	100	NULL
boba johan	4614158	200	NULL
boba johan	4616578	200	NULL
boba johan	4616581	400	NULL
boba johan	4656783	100	NULL
boba johan	6000311	200	NULL
boba johan	6009656	100	NULL
boba johan	6055145	50	NULL
boba johan	6075617	300	NULL
BrightMinds	4125253	300	NULL
BrightMinds	4129872	100	NULL
BrightMinds	4211288	200	NULL
BrightMinds	4211398	200	NULL
BrightMinds	4269651	8	NULL
BrightMinds	4521947	200	NULL
BrightMinds	4521948	100	NULL
BrightMinds	4616578	200	NULL
BrightMinds	4616581	300	NULL
BrightMinds	4623429	200	NULL
BrightMinds	6009656	100	NULL
BrightMinds	6055309	50	NULL
BrightMinds	6055509	200	NULL
BrightMinds	6075617	300	NULL
byggaredan	242328	200	NULL
byggaredan	4129872	100	NULL
byggaredan	4210700	100	NULL
byggaredan	4211085	1100	NULL
byggaredan	4211194	50	NULL
byggaredan	4249891	300	NULL
byggaredan	4255413	100	NULL
byggaredan	4264569	100	NULL
byggaredan	4269651	2	NULL
byggaredan	4519946	50	NULL
byggaredan	4521947	200	NULL
byggaredan	4521948	100	NULL
byggaredan	4529685	600	NULL
byggaredan	4536521	50	NULL
byggaredan	4570877	200	NULL
byggaredan	4594292	50	NULL
byggaredan	4613823	200	NULL
byggaredan	4614158	200	NULL
byggaredan	4616578	200	NULL
byggaredan	4616581	300	NULL
byggaredan	4656783	100	NULL
byggaredan	6000311	150	NULL
byggaredan	6009656	100	NULL
byggaredan	6021997	200	NULL
byggaredan	6040310	50	NULL
byggaredan	6055309	200	NULL
byggaredan	6058221	200	NULL
byggaredan	6058257	300	NULL
byggaredan	606428	50	NULL
byggaredan	6074312	50	NULL
byggaredan	6075208	200	NULL
byggaredan	6075617	100	NULL
Cakeman	300801	400	NULL
Cakeman	4211088	600	NULL
Cakeman	4211388	1500	NULL
Cakeman	4211413	200	NULL
Cakeman	4269651	8	NULL
Cakeman	4515374	100	NULL
Cakeman	4536521	200	NULL
Cakeman	4536998	200	NULL
Cakeman	4558952	100	NULL
Cakeman	4656783	200	NULL
Cakeman	6000311	600	NULL
Cakeman	6055145	100	NULL
Cakeman	6055309	200	NULL
Cakeman	6055509	200	NULL
Cakeman	6058093	100	NULL
Cakeman	6103001	200	NULL
carlt	242328	150	NULL
carlt	4210997	250	NULL
carlt	4211055	1600	NULL
carlt	4211063	600	NULL
carlt	4211065	500	NULL
carlt	4211194	700	NULL
carlt	4211288	1600	NULL
carlt	4269651	7	NULL
carlt	4529685	350	NULL
carlt	4613823	200	NULL
carlt	4623429	400	NULL
carlt	6000311	250	NULL
carlt	6047501	200	NULL
carlt	6055509	200	NULL
carlt	6058093	100	NULL
carlt	6058221	200	NULL
carlt	6075208	200	NULL
carlt	6075617	200	NULL
carlt	6078605	200	NULL
carlt	6084571	100	NULL
Claude76	242328	200	NULL
Claude76	300801	100	NULL
Claude76	4129872	200	NULL
Claude76	4210700	100	NULL
Claude76	4211055	200	NULL
Claude76	4211194	50	NULL
Claude76	4211413	200	NULL
Claude76	4269651	12	NULL
Claude76	4515374	100	NULL
Claude76	4518653	50	NULL
Claude76	4558952	100	NULL
Claude76	4613823	200	NULL
Claude76	4620068	50	NULL
Claude76	4656783	200	NULL
Claude76	6000311	200	NULL
Claude76	6040310	50	NULL
Claude76	6044702	450	NULL
Claude76	6047885	1000	NULL
Claude76	6055309	100	NULL
Claude76	6062574	100	NULL
Claude76	606428	50	NULL
Claude76	6073231	100	NULL
Claude76	6075208	250	NULL
Claude76	6081975	100	NULL
Claude76	6103001	100	NULL
Colligo	4114026	300	NULL
Colligo	4125253	300	NULL
Colligo	4211055	200	NULL
Colligo	4211063	300	NULL
Colligo	4211088	500	NULL
Colligo	4211357	400	NULL
Colligo	4211388	100	NULL
Colligo	4211398	400	NULL
Colligo	4211413	500	NULL
Colligo	4211414	300	NULL
Colligo	4249891	200	NULL
Colligo	4255413	100	NULL
Colligo	4264569	100	NULL
Colligo	4269651	7	NULL
Colligo	4515374	100	NULL
Colligo	4518653	100	NULL
Colligo	4521947	50	NULL
Colligo	4521948	100	NULL
